molecular_weight,num_atoms,num_bonds,num_rings,formal_charge,cid,smiles
245.152812228,37,38,2,0,5037,[H]c1c([H])c([H])c(-n2c(=O)c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(C([H])([H])[H])n2C([H])([H])[H])c([H])c1[H]
416.2311221240009,62,64,3,0,5038,[H]OC(=O)[C@@]1([H])N(C(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])[C@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C1([H])[H]
314.1412615640006,43,43,1,0,5039,[H]C(=C(N([H])C([H])([H])[H])N([H])C([H])([H])C([H])([H])SC([H])([H])c1oc(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H])[N+](=O)[O-]
465.1277105160008,54,56,3,0,5041,[H]c1nc(N(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])N(C([H])([H])c3c([H])c([H])c(I)c([H])c3[H])C([H])([H])C2([H])[H])c(OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
370.0720346400004,41,43,3,0,5042,[H]OC(=O)[C@@]([H])(N([H])C(=O)c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])c1c([H])c(=O)n([H])c2c([H])c([H])c([H])c([H])c12
569.0756553720006,60,66,7,0,5043,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(n2c3c(Cl)c([H])c([H])c([H])c3c3c4c(c5c6c([H])c([H])c([H])c(Cl)c6n([H])c5c32)C(=O)N([H])C4=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])OC([H])([H])[H]
375.1582915320006,49,51,3,0,5044,[H]c1c([H])c([H])c(C([H])([H])OC(=O)N([H])C([H])([H])c2c([H])c([H])c(C(=O)N([H])c3c([H])c([H])c([H])c([H])c3N([H])[H])c([H])c2[H])c([H])c1[H]
376.14230712000057,48,50,3,0,5045,[H]Oc1c([H])c([H])c([H])c([H])c1N([H])C(=O)c1c([H])c([H])c(C([H])([H])N([H])C(=O)OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
375.1582915320006,49,51,3,0,5046,[H]c1c([H])c([H])c(C([H])([H])OC(=O)N([H])C([H])([H])c2c([H])c([H])c(C(=O)N([H])c3c([H])c([H])c([H])c(N([H])[H])c3[H])c([H])c2[H])c([H])c1[H]
393.11471246800056,47,49,3,0,5047,[H]C(C(=O)N([H])c1c([H])c([H])c([H])c([H])c1N([H])[H])=C([H])c1c([H])c([H])c(N([H])S(=O)(=O)c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
514.258005568001,72,76,5,0,5048,[H]Oc1c([H])c2c3c(c([H])c([H])c([H])c3c1C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1N([H])[H])C2=O
355.1419727720006,47,49,3,0,5050,[H]c1c(C([H])([H])[H])c(C([H])([H])[H])c2c(c1[H])c1oc(C(=O)OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(=O)c1c(=O)n2[H]
338.1881946920007,51,53,3,0,5053,[H]C(=C(C([H])([H])[H])C([H])([H])[H])[C@@]1([H])C(C([H])([H])[H])(C([H])([H])[H])[C@]1([H])C(=O)OC([H])([H])c1c([H])oc(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1[H]
110.036779432,14,14,1,0,5054,[H]Oc1c([H])c([H])c([H])c(O[H])c1[H]
152.04734411599998,19,19,1,0,5055,[H]Oc1c([H])c([H])c([H])c(OC(=O)C([H])([H])[H])c1[H]
228.07864424399997,29,30,2,0,5056,[H]Oc1c([H])c([H])c(C([H])=C([H])c2c([H])c(O[H])c([H])c(O[H])c2[H])c([H])c1[H]
328.2402302640009,56,56,1,0,5057,[H]C(=C([H])C(=C([H])C([H])([H])OC(=O)C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])=C([H])C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
335.18852904000073,50,52,3,0,5059,[H]O[C@]([H])(c1c([H])c([H])c([H])c(OC([H])([H])c2nc3c([H])c([H])c([H])c([H])c3c([H])c2[H])c1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
266.1055276880003,34,35,2,0,5060,[H]C(=C(C#N)c1c([H])nc([H])c([H])c1[H])c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H]
274.0064536160002,26,27,2,0,5061,[H]C(=C(C#N)c1c([H])nc([H])c([H])c1[H])c1c([H])c(Cl)c([H])c(Cl)c1[H]
394.25800556800095,62,63,2,0,5063,[H]N(C(=O)ON=C1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)ON=C1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
244.080769484,29,30,2,0,5064,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(n2nc(C(=O)N([H])[H])nc2[H])[C@@]([H])(O[H])[C@]1([H])O[H]
302.0426526600003,32,34,3,0,5280343,[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2O[H])c([H])c1O[H]
286.0477380400003,31,33,3,0,5280445,[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2[H])c([H])c1O[H]
155.069476528,20,20,1,0,6274,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])nc([H])n1[H]
204.089877624,27,28,2,0,6305,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12
174.111675688,26,25,0,0,6322,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H]
32.026214748,6,5,0,0,887,[H]OC([H])([H])[H]
94.041864812,13,13,1,0,996,[H]Oc1c([H])c([H])c([H])c([H])c1[H]
